# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  129       4.818599827824e-10       1.436452669303e-13      -5.332888758952e-12       0.000000000000e+00       5.437720128681e-12       8.893624690351e-13      -5.453066482562e-15 
  130       4.863932372965e-10       1.443037207398e-13      -5.392140757257e-12       0.000000000000e+00       5.322119453791e-12       8.747580525743e-13      -5.394987370186e-15 
  131       4.909264575670e-10       1.448993355058e-13      -5.449359640532e-12       0.000000000000e+00       5.209611960289e-12       8.602037393842e-13      -5.325458107930e-15 
  132       4.954587133396e-10       1.454315228151e-13      -5.504480162003e-12       0.000000000000e+00       5.100118846629e-12       8.457669656127e-13      -5.247498860131e-15 
  133       4.999892091494e-10       1.458997727159e-13      -5.557438735442e-12       0.000000000000e+00       4.993563703537e-12       8.315558375860e-13      -5.165639894319e-15 
  134       5.045170976655e-10       1.463036415896e-13      -5.608172476958e-12       0.000000000000e+00       4.889852512043e-12       8.176837646164e-13      -5.084696194024e-15 
  135       5.090414783163e-10       1.466427537800e-13      -5.656619242914e-12       0.000000000000e+00       4.788873208781e-12       8.042695468419e-13      -5.009772826831e-15 
  136       5.135613629140e-10       1.469168142440e-13      -5.702717513919e-12       0.000000000000e+00       4.690512776139e-12       7.913997653963e-13      -4.944721106867e-15 
  137       5.180755713972e-10       1.471256445367e-13      -5.746405952852e-12       0.000000000000e+00       4.594711443870e-12       7.790113422192e-13      -4.887314086692e-15 
  138       5.225828225653e-10       1.472691536833e-13      -5.787623872425e-12       0.000000000000e+00       4.501413338679e-12       7.669968503642e-13      -4.833576097985e-15 
  139       5.270817645305e-10       1.473473291803e-13      -5.826311421554e-12       0.000000000000e+00       4.410549147330e-12       7.552409600999e-13      -4.779282281474e-15 
  140       5.315709731291e-10       1.473602386968e-13      -5.862409622282e-12       0.000000000000e+00       4.322035794824e-12       7.436202839575e-13      -4.719953977279e-15 
  141       5.360489503341e-10       1.473080317752e-13      -5.895860406708e-12       0.000000000000e+00       4.235776122559e-12       7.320032217771e-13      -4.650854115263e-15 
  142       5.405142117565e-10       1.471909472842e-13      -5.926607005832e-12       0.000000000000e+00       4.151673769829e-12       7.202919486386e-13      -4.568604064834e-15 
  143       5.449655623652e-10       1.470093330220e-13      -5.954595081903e-12       0.000000000000e+00       4.069680175026e-12       7.085534370531e-13      -4.476226103331e-15 
  144       5.494018454330e-10       1.467636313123e-13      -5.979771779903e-12       0.000000000000e+00       3.989751682096e-12       6.969012952949e-13      -4.378598464356e-15 
  145       5.538218548693e-10       1.464543751479e-13      -6.002085424442e-12       0.000000000000e+00       3.911834528999e-12       6.854548932819e-13      -4.280884046622e-15 
  146       5.582243341581e-10       1.460821899255e-13      -6.021485558756e-12       0.000000000000e+00       3.835864615722e-12       6.743394566704e-13      -4.188535386444e-15 
  147       5.626079752964e-10       1.456477951809e-13      -6.037922983715e-12       0.000000000000e+00       3.761767272297e-12       6.636861609479e-13      -4.107299630239e-15 
  148       5.669714539474e-10       1.451520071250e-13      -6.051349923856e-12       0.000000000000e+00       3.689468179379e-12       6.535951245670e-13      -4.041566723960e-15 
  149       5.713135409360e-10       1.445957428698e-13      -6.061720461196e-12       0.000000000000e+00       3.618927799644e-12       6.440201892416e-13      -3.989224924729e-15 
  150       5.756329994849e-10       1.439800199125e-13      -6.068990217500e-12       0.000000000000e+00       3.550109825360e-12       6.348732069710e-13      -3.946318620009e-15 
  151       5.799285491048e-10       1.433059570954e-13      -6.073116270354e-12       0.000000000000e+00       3.482970152909e-12       6.260600405692e-13      -3.908656740337e-15 
