# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  104       3.719038350210e-10       1.098874419445e-13      -3.397402793654e-12       0.000000000000e+00       9.770567808523e-12       1.383482463409e-12      -7.195083000826e-15 
  105       3.760855438627e-10       1.117333402458e-13      -3.484449414197e-12       0.000000000000e+00       9.526324631953e-12       1.356346855024e-12      -7.088379268627e-15 
  106       3.802908757451e-10       1.135519179514e-13      -3.571280677506e-12       0.000000000000e+00       9.289905723867e-12       1.329974202337e-12      -6.995848789469e-15 
  107       3.845199788448e-10       1.153407518204e-13      -3.657793305927e-12       0.000000000000e+00       9.060973442785e-12       1.304231265850e-12      -6.913997201494e-15 
  108       3.887727332443e-10       1.170974722988e-13      -3.743887986835e-12       0.000000000000e+00       8.839166199409e-12       1.279009611271e-12      -6.839591693766e-15 
  109       3.930481775653e-10       1.188200963497e-13      -3.829492248791e-12       0.000000000000e+00       8.624270120206e-12       1.254353360265e-12      -6.771489550807e-15 
  110       3.973450003859e-10       1.205067376307e-13      -3.914540512024e-12       0.000000000000e+00       8.416065391186e-12       1.230347352822e-12      -6.709033967589e-15 
  111       4.016617090408e-10       1.221555053281e-13      -3.998967114597e-12       0.000000000000e+00       8.214271169762e-12       1.207077902098e-12      -6.651489941437e-15 
  112       4.059969204483e-10       1.237645707020e-13      -4.082706305224e-12       0.000000000000e+00       8.018587328647e-12       1.184595369886e-12      -6.597373773643e-15 
  113       4.103502870178e-10       1.253323745491e-13      -4.165692138684e-12       0.000000000000e+00       7.828829554194e-12       1.162796580708e-12      -6.542350173810e-15 
  114       4.147216773514e-10       1.268574474243e-13      -4.247858638901e-12       0.000000000000e+00       7.644807905862e-12       1.141527520081e-12      -6.481065604563e-15 
  115       4.191108875845e-10       1.283383476059e-13      -4.329139880632e-12       0.000000000000e+00       7.466283377592e-12       1.120619054294e-12      -6.407784792840e-15 
  116       4.235175022451e-10       1.297736369761e-13      -4.409468156526e-12       0.000000000000e+00       7.293006040418e-12       1.099935514747e-12      -6.318449680995e-15 
  117       4.279404634853e-10       1.311618023276e-13      -4.488768144570e-12       0.000000000000e+00       7.124837742546e-12       1.079527944547e-12      -6.217158198569e-15 
  118       4.323784440999e-10       1.325013270893e-13      -4.566962099271e-12       0.000000000000e+00       6.961641751856e-12       1.059498874637e-12      -6.110461108979e-15 
  119       4.368299753511e-10       1.337907171665e-13      -4.643971680057e-12       0.000000000000e+00       6.803243492420e-12       1.039955097593e-12      -6.005374941984e-15 
  120       4.412934430291e-10       1.350285021237e-13      -4.719717972582e-12       0.000000000000e+00       6.649429485751e-12       1.021007729889e-12      -5.909391888145e-15 
  121       4.457673317800e-10       1.362132697259e-13      -4.794123485362e-12       0.000000000000e+00       6.499981465064e-12       1.002747293772e-12      -5.828679840262e-15 
  122       4.502509987979e-10       1.373437716091e-13      -4.867118358317e-12       0.000000000000e+00       6.354785486564e-12       9.851655351601e-13      -5.762423409387e-15 
  123       4.547439834416e-10       1.384188322273e-13      -4.938634922359e-12       0.000000000000e+00       6.213733619503e-12       9.682245551111e-13      -5.707837948838e-15 
  124       4.592457651520e-10       1.394373180360e-13      -5.008605825914e-12       0.000000000000e+00       6.076689148763e-12       9.518808337684e-13      -5.661915495172e-15 
